[2023-02-13-19-05-27] File | New file - log:logs\log-2023-02-13-19-05-27.txt
[2023-02-13-19-05-27] File | New file - server:server.txt
[2023-02-13-19-05-28] File | Loaded file - user-channels:user-channels.txt
[2023-02-13-19-05-28] File | New file - fakenames:fakenames.txt
[2023-02-13-19-05-28] Startup | Events started
[2023-02-13-19-05-28] Startup | Startup classes started
[2023-02-13-19-05-28] Startup | Bot started
[2023-02-13-19-05-28] File | New file - commands:commands.txt
[2023-02-13-19-05-28] Startup | Commands registered: /ad
[2023-02-13-19-05-28] Startup | Commands registered: /message
[2023-02-13-19-05-28] Startup | Commands registered: /fixme
[2023-02-13-19-05-28] Startup | Commands registered: /fakename
[2023-02-13-19-05-28] Startup | Commands registered: /list
[2023-02-13-19-05-28] Startup | Commands started
[2023-02-13-19-05-30] Event | SlashCommandInteractionEvent - /list:168190484819345409
