[2023-02-13-18-55-59] File | New file - log:logs\log-2023-02-13-18-55-59.txt
[2023-02-13-18-55-59] File | New file - server:server.txt
[2023-02-13-18-56-01] File | Loaded file - user-channels:user-channels.txt
[2023-02-13-18-56-01] File | New file - fakenames:fakenames.txt
[2023-02-13-18-56-01] Startup | Events started
[2023-02-13-18-56-01] Startup | Startup classes started
[2023-02-13-18-56-01] Startup | Bot started
[2023-02-13-18-56-01] File | New file - commands:commands.txt
[2023-02-13-18-56-01] Startup | Commands registered: /ad
[2023-02-13-18-56-01] Startup | Commands registered: /message
[2023-02-13-18-56-01] Startup | Commands registered: /fixme
[2023-02-13-18-56-01] Startup | Commands registered: /fakename
[2023-02-13-18-56-01] Startup | Commands registered: /list
[2023-02-13-18-56-01] Startup | Commands started
[2023-02-13-18-56-12] Event | SlashCommandInteractionEvent - /message name: Moneyman message: yo:168190484819345409
[2023-02-13-18-56-57] Event | SlashCommandInteractionEvent - /list:168190484819345409
