[2023-02-13-19-02-21] File | New file - log:logs\log-2023-02-13-19-02-21.txt
[2023-02-13-19-02-21] File | New file - server:server.txt
[2023-02-13-19-02-22] File | Loaded file - user-channels:user-channels.txt
[2023-02-13-19-02-22] File | New file - fakenames:fakenames.txt
[2023-02-13-19-02-22] Startup | Events started
[2023-02-13-19-02-22] Startup | Startup classes started
[2023-02-13-19-02-22] Startup | Bot started
[2023-02-13-19-02-22] File | New file - commands:commands.txt
[2023-02-13-19-02-22] Startup | Commands registered: /ad
[2023-02-13-19-02-22] Startup | Commands registered: /message
[2023-02-13-19-02-22] Startup | Commands registered: /fixme
[2023-02-13-19-02-22] Startup | Commands registered: /fakename
[2023-02-13-19-02-22] Startup | Commands registered: /list
[2023-02-13-19-02-22] Startup | Commands started
[2023-02-13-19-02-25] Event | SlashCommandInteractionEvent - /list:168190484819345409
